1,愛別町,43.92862778,142.6508367
2,赤井川村,43.04324833,140.9208618
3,赤平市,43.56498264,142.0531677
4,旭川市,43.74997889,142.3442586
5,芦別市,43.43430375,142.2170867
6,足寄町,43.37338195,143.4639471
7,厚岸町,43.12574743,144.8239626
8,厚沢部町,41.9200631,140.3023872
9,厚真町,42.72896264,141.9453723
10,網走市,43.94579319,144.2889088
11,安平町,42.80987375,141.8442618
12,池田町,42.99419292,143.4746182
13,石狩市,43.43408042,141.4888423
14,今金町,42.44411264,140.0926641
15,岩内町,42.95124723,140.4867989
16,岩見沢市,43.20562722,141.7359922
17,歌志内市,43.48639417,142.0226766
18,浦臼町,43.42845917,141.7883323
19,浦河町,42.28111111,142.8643781
20,浦幌町,42.93194209,143.6717971
21,雨竜町,43.67713931,141.8361825
22,江差町,41.894986,140.1682125
23,枝幸町,44.81957056,142.4993065
24,恵庭市,42.89422875,141.5271016
25,江別市,43.09489514,141.546061
26,えりも町,42.0480222,143.2176234
27,遠軽町,43.90495806,143.3146217
28,遠別町,44.60010056,141.9640205
29,雄武町,44.55691195,142.8180132
30,大空町,43.83038806,144.2831942
31,奥尻町,42.15251875,139.4667705
32,置戸町,43.64224337,143.4856741
33,興部町,44.39223056,143.1441898
34,長万部町,42.50351049,140.3043562
35,小樽市,43.14771518,141.0377658
36,音威子府村,44.71319194,142.2358568
37,音更町,43.04325931,143.2089258
38,乙部町,42.02334909,140.1823411
39,帯広市,42.78298111,143.1273491
40,小平町,44.07396639,141.8641908
41,上川町,43.740875,142.8982789
42,上士幌町,43.49096507,143.1318807
43,上砂川町,43.44727847,142.0131177
44,上ノ国町,41.71624472,140.1668598
45,上富良野町,43.46627111,142.5012355
46,神恵内村,43.18142363,140.435442
47,木古内町,41.72973125,140.4463532
48,北広島市,42.95502459,141.5236907
49,北見市,43.8444597,143.757839
50,喜茂別町,42.79904723,140.9717034
51,京極町,42.89471014,140.9442356
52,共和町,42.99394097,140.6429997
53,清里町,43.74463444,144.6076122
54,釧路市,43.23778681,144.0917108
55,釧路町,43.02561431,144.4898622
56,倶知安町,42.91854342,140.7732849
57,栗山町,43.0719526,141.8468863
58,黒松内町,42.67707625,140.3632278
59,訓子府町,43.70069417,143.728462
60,剣淵町,44.09873369,142.3427398
61,小清水町,43.81417847,144.4467281
62,札幌市,42.98432986,141.2369158
63,更別村,42.62066774,143.2065751
64,様似町,42.16063417,143.0301719
65,猿払村,45.22545417,142.1428208
66,佐呂間町,44.04047375,143.8205245
67,鹿追町,43.20443069,143.0438856
68,鹿部町,42.01269361,140.7979818
69,標茶町,43.29942819,144.5289644
70,士別市,44.10611193,142.6579404
71,標津町,43.73710041,144.9006983
72,士幌町,43.16157167,143.2637881
73,島牧村,42.676485,140.0518722
74,清水町,42.98359986,142.8807152
75,占冠村,43.00795667,142.5079868
76,下川町,44.31557097,142.68576
77,積丹町,43.29201581,140.4874191
78,斜里町,43.88081151,144.7747609
79,初山別村,44.51564806,141.8395075
80,白老町,42.57976736,141.254465
81,白糠町,43.14886805,143.9043846
82,知内町,41.59341139,140.3633754
83,新篠津村,43.22232736,141.6147285
84,新得町,43.29069056,142.8567564
85,新十津川町,43.57601583,141.7488954
86,新ひだか町,42.43757527,142.6402721
87,寿都町,42.79949167,140.344011
88,砂川市,43.50664181,141.9443787
89,せたな町,42.37735209,139.884272
90,壮瞥町,42.57616555,140.9947565
91,大樹町,42.49696754,143.0717533
92,鷹栖町,43.875395,142.3360953
93,滝川市,43.60214459,141.9423942
94,滝上町,44.10265403,143.0039105
95,伊達市,42.70365375,141.0938282
96,秩父別町,43.78088028,141.9720962
97,千歳市,42.81671889,141.6101501
98,月形町,43.37405389,141.6826765
99,津別町,43.61617584,143.9783506
100,鶴居村,43.26264958,144.2812731
101,天塩町,44.8789625,141.8674451
102,弟子屈町,43.54600306,144.3981212
103,当別町,43.27707048,141.5404163
104,当麻町,43.82220708,142.5798471
105,洞爺湖町,42.6096382,140.7712554
106,苫小牧市,42.68249555,141.5950923
107,苫前町,44.219265,141.8155135
108,泊村,43.09479973,140.5259626
109,豊浦町,42.64373736,140.650405
110,豊頃町,42.73123069,143.4683394
111,豊富町,45.15251472,141.8015176
112,奈井江町,43.41563431,141.903985
113,中川町,44.68300722,142.0740262
114,中札内村,42.64625959,143.0928964
115,中標津町,43.58072889,144.8334836
116,中頓別町,44.90102348,142.2716887
117,長沼町,42.98345028,141.6829927
118,中富良野町,43.41084894,142.4051228
119,七飯町,41.95541444,140.6935407
120,名寄市,44.3275257,142.4377798
121,南幌町,43.058585,141.6347804
122,新冠町,42.54121403,142.4484885
123,仁木町,43.0876,140.6971908
124,西興部村,44.3279723,142.9277235
125,ニセコ町,42.79278,140.6791324
126,沼田町,43.88703625,141.9712873
127,根室市,43.22553225,145.426255
128,登別市,42.45356773,141.0843357
